Country,Provider,City,Hotel Name,Address,Rating,No Of Ratings,Rating Summary,Amenities,Room Type,Final Price,Slashed Price,Discount(%)
Nepal,OYO,Surhera,OYO 702 Hotel Sumeru,"Birendranagar, Surkhet",NEW,nan,nan,"First Aid, Daily Housekeeping, Refrigerator, + 10 more",Deluxe (3X),NPR3500,NPR4667,25% off
Nepal,OYO,Surhera,OYO 703 Hotel Namaste Nepal,"Birendra chowk, Surkhet",NEW,nan,nan,"Parking Facility, Bar, Attached Bathroom, + 11 more",,nan,nan,nan
Nepal,OYO,Surhera,OYO 705 Hotel De Namaste,"Birendranagar, Surkhet",NEW,nan,nan,"Parking Facility, Attached Bathroom, Daily Housekeeping, + 11 more",,nan,nan,nan
